player_id,player_name,team,position,cluster,archetype
P00001,Kylian Griezmann,France,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00002,Antoine Tchouameni,France,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00003,Ousmane Hernandez,France,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00004,Kylian Camavinga,France,Defender,1,Defender: Clearances + Aerial duels
P00005,Antoine Kounde,France,Defender,1,Defender: Clearances + Aerial duels
P00006,Ousmane Upamecano,France,Defender,1,Defender: Clearances + Aerial duels
P00007,Aurelien Rabiot,France,Defender,1,Defender: Clearances + Aerial duels
P00008,Eduardo Sissoko,France,Defender,1,Defender: Clearances + Aerial duels
P00009,Theo Varane,France,Defender,1,Defender: Clearances + Aerial duels
P00010,Lucas Pavard,France,Defender,1,Defender: Clearances + Aerial duels
P00011,Randal Diarra,France,Defender,1,Defender: Clearances + Aerial duels
P00012,Olivier Badiashile,France,Defender,1,Defender: Clearances + Aerial duels
P00013,Kylian Maignan,France,Midfielder,2,Midfielder: Key passes + Passing
P00014,Antoine Saliba,France,Midfielder,2,Midfielder: Key passes + Passing
P00015,Ousmane Konate,France,Midfielder,2,Midfielder: Key passes + Passing
P00016,Aurelien Thuram,France,Midfielder,2,Midfielder: Key passes + Passing
P00017,Eduardo Olise,France,Midfielder,2,Midfielder: Key passes + Passing
P00018,Theo Mukiele,France,Midfielder,2,Midfielder: Key passes + Passing
P00019,Lucas Todibo,France,Midfielder,2,Midfielder: Key passes + Passing
P00020,Randal Griezmann,France,Midfielder,2,Midfielder: Key passes + Passing
P00021,Kylian Olise,France,Forward,0,Forward: Shots + Goals
P00022,Antoine Mukiele,France,Forward,0,Forward: Shots + Goals
P00023,Ousmane Todibo,France,Forward,0,Forward: Shots + Goals
P00024,Aurelien Griezmann,France,Forward,0,Forward: Shots + Goals
P00025,Eduardo Tchouameni,France,Forward,0,Forward: Shots + Goals
P00026,Theo Hernandez,France,Forward,0,Forward: Shots + Goals
P00027,Joshua Musiala,Germany,Goalkeeper,3,Goalkeeper: Saves + Physicality
